PUY;Pula;6,50;35,00;39,00;27.09.2023;31.12.2025;Applicon
PUY;Rabac;14,00;66,00;73,00;27.09.2023;31.12.2025;Applicon
PUY;Porec;15,00;77,00;92,00;27.09.2023;31.12.2025;Applicon
PUY;Lanterna Tar;16,00;83,00;105,00;27.09.2023;31.12.2025;Applicon
PUY;SV Nikola Island;15,00;77,00;92,00;27.09.2023;31.12.2025;Applicon
PUY;Novigrad;16,00;92,00;115,00;27.09.2023;31.12.2025;Applicon
PUY;Buje;16,00;109,00;117,00;27.09.2023;31.12.2025;Applicon
PUY;Medulin;7,00;35,00;39,00;27.09.2023;31.12.2025;Applicon
PUY;Rovinj;11,00;61,00;65,00;27.09.2023;31.12.2025;Applicon
PUY;Umag;17,00;109,00;117,00;27.09.2023;31.12.2025;Applicon
PUY;Vrsar;13,00;77,00;92,00;27.09.2023;31.12.2025;Applicon
PUY;Fazana;7,00;35,00;39,00;27.09.2023;31.12.2025;Applicon
PUY;Labin;10,00;40,00;44,00;27.09.2023;31.12.2025;Applicon
PUY;Opatija;;;;27.09.2023;31.12.2025;Applicon
ZAD;Starigrad/ Paklenica;20,66;90,19;103,07;01.01.2020;26.09.2023;Applicon
ZAD;Zaton;13,98;48,96;57,99;01.01.2020;26.09.2023;Applicon
ZAD;Petrcane;12,77;48,96;57,99;01.01.2020;26.09.2023;Applicon
ZAD;Biograd;19,45;81,03;104,19;01.01.2020;26.09.2023;Applicon
ZAD;Borik;10,94;42,52;51,54;01.01.2020;26.09.2023;Applicon
ZAD;Vodice;22,79;103,07;115,96;01.01.2020;26.09.2023;Applicon
ZAD;Tisno;20,96;103,07;115,96;01.01.2020;26.09.2023;Applicon
ZAD;Sibenik;25,53;118,08;133,13;01.01.2020;26.09.2023;Applicon
ZAD;Primosten;27,35;154,61;167,50;01.01.2020;26.09.2023;Applicon
ZAD;Pag Island;27,96;154,61;167,86;01.01.2020;26.09.2023;Applicon
ZAD;Novalja;31,60;141,73;156,28;01.01.2020;26.09.2023;Applicon
ZAD;Sv. Filip Jakov;17,02;57,99;70,87;01.01.2020;26.09.2023;Applicon
ZAD;Zadar;10,94;48,96;57,99;01.01.2020;26.09.2023;Applicon
ZAD;Pakostane;21,88;92,61;115,76;01.01.2020;26.09.2023;Applicon
ZAD;Privlaka, Nin;16,42;97,24;121,55;01.01.2020;26.09.2023;Applicon
ZAD;Kukljica;;;;01.01.2020;26.09.2023;Applicon
ZAD;RAB island;;231,53;289,41;01.01.2020;26.09.2023;Applicon
ZAD;Starigrad/ Paklenica;22,00;95,00;108,00;27.09.2023;31.12.2025;Applicon
ZAD;Zaton;15,00;52,00;61,00;27.09.2023;31.12.2025;Applicon
ZAD;Petrcane;14,00;52,00;61,00;27.09.2023;31.12.2025;Applicon
ZAD;Biograd;21,00;85,00;110,00;27.09.2023;31.12.2025;Applicon
ZAD;Borik;12,00;45,00;54,00;27.09.2023;31.12.2025;Applicon
ZAD;Vodice;24,00;108,00;122,00;27.09.2023;31.12.2025;Applicon
ZAD;Tisno;22,00;108,00;122,00;27.09.2023;31.12.2025;Applicon
ZAD;Sibenik;27,00;122,00;135,00;27.09.2023;31.12.2025;Applicon
ZAD;Primosten;29,00;162,00;176,00;27.09.2023;31.12.2025;Applicon
ZAD;Pag Island;30,00;162,00;176,00;27.09.2023;31.12.2025;Applicon
ZAD;Novalja;34,00;149,00;162,00;27.09.2023;31.12.2025;Applicon
ZAD;Sv. Filip Jakov;18,00;61,00;75,00;27.09.2023;31.12.2025;Applicon
ZAD;Zadar;11,50;52,00;61,00;27.09.2023;31.12.2025;Applicon
ZAD;Pakostane;23,00;98,00;122,00;27.09.2023;31.12.2025;Applicon
ZAD;Privlaka, Nin;18,00;102,00;128,00;27.09.2023;31.12.2025;Applicon
ZAD;Kukljica;25,00;115,00;141,00;27.09.2023;31.12.2025;Applicon
ZAD;RAB island;;243,00;304,00;27.09.2023;31.12.2025;Applicon
RIJ;Opatija;20,95;77,18;99,23;01.01.2020;26.09.2023;Applicon
RIJ;Lovran;23,15;82,69;104,74;01.01.2020;26.09.2023;Applicon
RIJ;Krk ;18,19;71,66;82,69;01.01.2020;26.09.2023;Applicon
RIJ;Malinska;18,19;55,13;77,18;01.01.2020;26.09.2023;Applicon
RIJ;Baska;20,95;77,18;104,74;01.01.2020;26.09.2023;Applicon
RIJ;Vrbnik;18,19;71,66;82,69;01.01.2020;26.09.2023;Applicon
RIJ;Njivice;18,19;44,10;66,15;01.01.2020;26.09.2023;Applicon
RIJ;Opatija;22,00;81,00;104,00;27.09.2023;31.12.2025;Applicon
RIJ;Lovran;25,00;87,00;110,00;27.09.2023;31.12.2025;Applicon
RIJ;Krk ;20,00;76,00;87,00;27.09.2023;31.12.2025;Applicon
RIJ;Malinska;20,00;58,00;81,00;27.09.2023;31.12.2025;Applicon
RIJ;Baska;22,00;81,00;110,00;27.09.2023;31.12.2025;Applicon
RIJ;Vrbnik;20,00;76,00;87,00;27.09.2023;31.12.2025;Applicon
RIJ;Njivice;20,00;47,00;70,00;27.09.2023;31.12.2025;Applicon
