PUY;Vrsar;21,18;125,02;138,92;01.01.2020;26.09.2023;-
PUY;Fazana;11,46;55,57;83,35;01.01.2020;26.09.2023;-
PUY;Labin;17,36;86,82;96,08;01.01.2020;26.09.2023;-
PUY;Opatija;;;;01.01.2020;26.09.2023;-
PUY;Pula;10,00;47,40;53,48;27.09.2023;31.12.2025;-
PUY;Rabac;19,00;91,16;100,89;27.09.2023;31.12.2025;-
PUY;Porec;21,00;106,96;127,63;27.09.2023;31.12.2025;-
PUY;Lanterna Tar;22,00;112,00;140,00;27.09.2023;31.12.2025;-
PUY;SV Nikola Island;21,00;106,96;127,63;27.09.2023;31.12.2025;-
PUY;Novigrad;21,27;127,63;159,23;27.09.2023;31.12.2025;-
PUY;Buje;22,24;196,91;211,50;27.09.2023;31.12.2025;-
PUY;Medulin;12,03;58,34;87,52;27.09.2023;31.12.2025;-
PUY;Rovinj;23,00;109,40;116,69;27.09.2023;31.12.2025;-
PUY;Umag;23,00;196,91;211,50;27.09.2023;31.12.2025;-
PUY;Vrsar;23,00;131,27;145,86;27.09.2023;31.12.2025;-
PUY;Fazana;12,03;58,34;87,52;27.09.2023;31.12.2025;-
PUY;Labin;18,23;91,16;100,89;27.09.2023;31.12.2025;-
PUY;Opatija;;;;27.09.2023;31.12.2025;-
ZAD;Starigrad/ Paklenica;;;;01.01.2020;26.09.2023;-
ZAD;Zaton;;;;01.01.2020;26.09.2023;-
ZAD;Petrcane;17,71;81,36;94,93;01.01.2020;26.09.2023;-
ZAD;Biograd;24,68;102,90;134,40;01.01.2020;26.09.2023;-
ZAD;Borik;;;0,00;01.01.2020;26.09.2023;-
ZAD;Vodice;28,35;133,35;149,10;01.01.2020;26.09.2023;-
ZAD;Tisno;;;0,00;01.01.2020;26.09.2023;-
ZAD;Sibenik;34,65;158,21;214,71;01.01.2020;26.09.2023;-
ZAD;Primosten;;;0,00;01.01.2020;26.09.2023;-
ZAD;Pag Island;34,73;194,25;220,50;01.01.2020;26.09.2023;-
ZAD;Novalja;40,95;178,50;208,95;01.01.2020;26.09.2023;-
ZAD;Sv. Filip Jakov;;;0,00;01.01.2020;26.09.2023;-
ZAD;Zadar;13,65;61,95;78,75;01.01.2020;26.09.2023;-
ZAD;Pakostane;;;0,00;01.01.2020;26.09.2023;-
ZAD;Privlaka, Nin;;;0,00;01.01.2020;26.09.2023;-
ZAD;Kukljica;;;0,00;01.01.2020;26.09.2023;-
ZAD;RAB island;;287,70;367,50;01.01.2020;26.09.2023;-
ZAD;Starigrad/ Paklenica;28,50;122,00;136,00;27.09.2023;31.12.2025;-
ZAD;Zaton;19,50;81,36;99,67;27.09.2023;31.12.2025;-
ZAD;Petrcane;18,60;81,36;99,67;27.09.2023;31.12.2025;-
ZAD;Biograd;27,00;110,00;141,12;27.09.2023;31.12.2025;-
ZAD;Borik;15,50;60,00;69,00;27.09.2023;31.12.2025;-
ZAD;Vodice;30,00;140,02;156,56;27.09.2023;31.12.2025;-
ZAD;Tisno;28,50;140,02;156,56;27.09.2023;31.12.2025;-
ZAD;Sibenik;36,38;166,00;214,71;27.09.2023;31.12.2025;-
ZAD;Primosten;40,00;205,00;231,53;27.09.2023;31.12.2025;-
ZAD;Pag Island;38,50;205,00;231,53;27.09.2023;31.12.2025;-
ZAD;Novalja;44,00;189,00;219,40;27.09.2023;31.12.2025;-
ZAD;Sv. Filip Jakov;23,50;79,00;99,00;27.09.2023;31.12.2025;-
ZAD;Zadar;15,00;67,00;82,69;27.09.2023;31.12.2025;-
ZAD;Pakostane;29,50;125,00;158,00;27.09.2023;31.12.2025;-
ZAD;Privlaka, Nin;23,50;132,00;164,00;27.09.2023;31.12.2025;-
ZAD;Kukljica;33,00;149,00;189,00;27.09.2023;31.12.2025;-
ZAD;RAB island;;302,09;385,88;27.09.2023;31.12.2025;-
RIJ;Opatija;24,51;90,31;116,11;01.01.2020;26.09.2023;-
